"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2017,115446922,93021100,47,"C",20,,""
2017,115446963,93021138,45,"C",20,,""
2017,115446987,93021151,45,"C",5,,""
2017,115447075,93021215,45,"C",3,,""
2017,115447112,93021242,47,"C",41,,""
2017,115447163,93021296,14,"C",20,,""
2017,115447295,93021417,45,"C",41,,""
2017,115447356,93021485,49,"C",20,,"F"
2017,115447440,93021550,14,"C",18,,""
2017,115447515,93021614,44,"C",20,,""
2017,115447575,93021664,16,"C",13,,""
2017,115447906,93021948,49,"C",20,,"F"
2017,115447964,93022004,5,"C",18,,""
2017,115448026,93022059,21,"A",20,,""
2017,115448075,93022114,5,"C",13,,""
2017,115448141,93022186,7,"C",25,,""
2017,115448308,93022328,16,"C",13,,""
2017,113573663,91373009,36,"C",20,,""
2017,113573975,91373269,27,"C",20,,""
2017,113574282,91373550,49,"C",5,,"N"
2017,113574358,91373621,21,"C",20,,""
2017,113574383,91373644,16,"C",13,,""
2017,113574381,91373644,28,"C",13,,""
2017,113574421,91373678,37,"C",8,,""
2017,113574462,91373716,49,"C",20,,"N"
2017,113574550,91373803,47,"C",20,,""
2017,113574807,91374032,27,"C",13,,""
2017,113574808,91374032,5,"C",13,,""
2017,113574984,91374200,16,"C",13,,""
2017,113575051,91374264,16,"C",13,,""
2017,113575149,91374347,21,"C",20,,""
2017,113575182,91374388,40,"C",13,,""
2017,113575363,91374538,21,"C",13,,""
2017,113578436,91377193,27,"C",12,,""
2017,113578554,91377310,35,"C",13,,""
2017,113578547,91377310,16,"C",13,,""
2017,113579046,91377729,14,"C",25,,""
2017,113579141,91377815,49,"C",20,,"F"
2017,113579277,91377927,49,"A",20,,"F"
2017,113579351,91377991,51,"C",13,,""
2017,113579825,91378421,21,"C",18,,""
2017,113579941,91378517,21,"C",13,,""
2017,113579993,91378559,21,"C",25,,""
2017,113579994,91378559,5,"C",25,,""
2017,113581545,91379905,27,"C",20,,""
2017,115449160,93023099,51,"C",18,,""
2017,115449325,93023246,23,"C",8,,""
2017,115449461,93023354,49,"C",20,,"F"
2017,115449597,93023461,5,"C",13,,""
2017,115449738,93023605,40,"C",13,,""
2017,115449846,93023691,7,"C",18,,""
2017,115449866,93023711,5,"C",20,,""
2017,113583960,91381806,11,"C",21,,""
2017,113583978,91381823,14,"C",18,,""
2017,113584033,91381868,51,"C",20,,""
2017,113584169,91381988,51,"C",20,,""
2017,113584237,91382045,40,"C",8,,""
2017,113584348,91382128,16,"C",1,,""
2017,113584361,91382150,21,"C",20,,""
2017,113584602,91382325,39,"C",20,,""
2017,113584710,91382417,11,"C",14,,""
2017,113584786,91382505,21,"C",13,,""
2017,113584845,91382533,5,"C",20,,""
2017,113584951,91382636,49,"C",20,,"F"
2017,113584955,91382655,21,"C",7,,""
2017,113585070,91382726,23,"C",24,,""
2017,113585139,91382796,28,"C",18,,""
2017,113585143,91382796,16,"C",18,,""
2017,113585225,91382862,51,"C",20,,""
2017,113585354,91382970,5,"C",13,,""
2017,113585409,91383017,7,"C",13,,""
2017,113585585,91383163,47,"C",35,,""
2017,113585716,91383265,2,"C",46,,""
2017,113585804,91383334,21,"C",20,,""
2017,113585846,91383371,49,"C",20,,"F"
2017,113585861,91383388,51,"C",20,,""
2017,113585950,91383457,51,"C",3,,""
2017,113585985,91383491,23,"C",8,,""
2017,113585986,91383491,35,"C",8,,""
2017,113586145,91383614,5,"C",20,,""
2017,113586251,91383704,40,"C",12,,""
2017,113586281,91383729,51,"C",13,,""
2017,113586299,91383743,41,"C",7,,""
2017,113586426,91383864,5,"C",20,,""
2017,113586671,91384068,27,"C",20,,""
2017,113586719,91384109,17,"C",20,,""
2017,113586763,91384140,14,"C",18,,""
2017,113586780,91384155,45,"C",25,,""
2017,113586886,91384257,47,"C",25,,""
2017,113587075,91384414,7,"C",13,,""
2017,113587105,91384446,44,"C",25,,""
2017,113587278,91384589,16,"C",13,,""
2017,113587283,91384589,35,"C",13,,""
2017,113587312,91384650,39,"C",13,,""
2017,113587330,91384650,35,"C",13,,""
2017,113587331,91384650,16,"C",13,,""
2017,113587455,91384733,49,"A",20,,"F"
2017,113587619,91384881,40,"C",13,,""
2017,113587687,91384935,21,"C",13,,""
2017,113587685,91384935,40,"C",13,,""
2017,113587708,91384937,5,"C",5,,""
2017,113587857,91385071,45,"C",20,,""
2017,113587985,91385174,56,"C",41,,""
2017,113588047,91385254,7,"C",13,,""
2017,113588217,91385368,14,"C",18,,""
2017,113588273,91385412,40,"A",13,,""
2017,113588265,91385433,21,"C",20,,""
2017,113588443,91385560,14,"C",13,,""
2017,113588634,91385714,21,"A",13,,""
2017,113588629,91385713,21,"C",20,,""
2017,113588719,91385791,21,"C",21,,""
2017,113588734,91385798,27,"C",20,,""
2017,113588839,91385888,5,"C",20,,""
2017,113588946,91385993,40,"A",13,,""
2017,113589096,91386104,49,"C",25,,"N"
2017,113589188,91386208,49,"C",25,,"N"
2017,113589208,91386210,27,"C",13,,""
2017,113589274,91386263,5,"C",20,,""
2017,113589397,91386364,21,"C",20,,""
2017,113589406,91386372,51,"C",41,,""
2017,113589466,91386426,49,"C",20,,"F"
2017,113589582,91386520,51,"C",20,,""
2017,113589601,91386533,16,"C",1,,""
2017,113589677,91386610,51,"C",43,,""
2017,113589683,91386618,21,"C",20,,""
2017,113589794,91386709,21,"C",18,,""
2017,113589819,91386730,49,"A",7,,"F"
2017,113589886,91386792,28,"C",13,,""
2017,113589977,91386857,27,"C",13,,""
2017,113590042,91386918,51,"C",20,,""
2017,113590064,91386938,27,"C",20,,""
2017,113590206,91387052,5,"C",30,,""
2017,113590313,91387150,23,"C",8,,""
2017,113590354,91387182,51,"C",20,,""
2017,113590425,91387247,21,"C",25,,""
2017,113590424,91387248,14,"C",13,,""
2017,113590511,91387310,51,"C",20,,""
2017,113590518,91387319,49,"A",20,,"F"
2017,113590631,91387415,21,"C",20,,""
2017,113590675,91387447,35,"C",13,,""
2017,113590676,91387447,16,"C",13,,""
2017,113590684,91387455,51,"C",20,,""
2017,113590699,91387467,49,"C",20,,"F"
2017,113590762,91387515,5,"C",20,,""
2017,113590819,91387565,5,"C",30,,""
2017,113590852,91387589,51,"C",20,,""
2017,113590893,91387629,27,"C",13,,""
2017,113590950,91387676,51,"C",20,,""
2017,113591044,91387751,35,"C",20,,""
2017,113591152,91387847,5,"C",20,,""
2017,113591172,91387864,40,"C",35,,""
2017,113591186,91387876,51,"C",20,,""
2017,113591380,91388027,44,"C",20,,""
2017,113591370,91388024,40,"A",13,,""
2017,113591538,91388160,5,"C",13,,""
2017,113591824,91388394,14,"C",18,,""
2017,113591812,91388415,21,"C",20,,""
2017,113591942,91388492,51,"C",20,,""
2017,113592038,91388574,16,"C",13,,""
2017,113592162,91388676,45,"C",20,,""
2017,113592176,91388691,7,"C",18,,""
2017,113592251,91388753,14,"C",13,,""
2017,113592325,91388815,47,"C",21,,""
2017,113592331,91388824,49,"C",20,,"F"
2017,113592369,91388856,49,"C",20,,"F"
2017,113592428,91388914,14,"C",20,,""
2017,113592436,91388923,16,"C",1,,""
2017,113592552,91389017,51,"C",20,,""
2017,113592621,91389079,51,"C",20,,""
2017,113592710,91389166,49,"C",20,,"N"
2017,113592767,91389221,16,"C",13,,""
2017,113592809,91389251,5,"C",21,,""
2017,113592849,91389332,35,"C",13,,""
2017,113592848,91389332,40,"C",13,,""
2017,113593027,91389439,51,"C",20,,""
2017,113593138,91389531,49,"C",33,,"F"
2017,113593159,91389552,49,"C",20,,"F"
2017,113593273,91389651,47,"C",21,,""
2017,113593407,91389770,5,"C",19,,""
2017,113593396,91389770,49,"C",19,2,"F"
2017,113593493,91389841,51,"C",20,,""
2017,113593555,91389891,27,"C",18,,""
2017,113593578,91389912,27,"C",20,,""
2017,113593634,91389949,5,"C",13,,""
2017,113593689,91389990,45,"C",20,,""
2017,113593702,91390003,49,"C",5,,"N"
2017,113593849,91390130,47,"C",8,,""
2017,113593879,91390150,51,"C",13,,""
2017,113593895,91390173,51,"C",20,,""
2017,113593918,91390195,7,"C",18,,""
2017,113593925,91390198,51,"C",13,,""
2017,113593990,91390254,63,"C",25,,""
2017,113594000,91390261,21,"C",20,,""
2017,113594004,91390264,14,"C",13,,""
2017,113594003,91390264,21,"A",13,,""
2017,113594068,91390326,16,"C",13,,""
2017,113594111,91390364,2,"C",21,,""
2017,113594120,91390370,7,"C",18,,""
2017,113594276,91390502,45,"C",27,,""
2017,112993150,90870438,51,"C",20,,""
2017,112994581,90871669,28,"C",10,,""
2017,112995102,90872109,16,"C",18,,""
2017,112995103,90872109,35,"C",13,,""
2017,112995186,90872185,5,"C",13,,""
2017,112996863,90873621,14,"C",38,,""
2017,112996889,90873636,47,"C",21,,""
2017,112996896,90873642,51,"C",20,,""
2017,112996907,90873652,5,"C",13,,""
2017,112996913,90873658,47,"C",42,,""
