"","Url","Likes","Reposts","Comments","Views","Text","Date","Likability"
"1","https://vk.com/wall-67083068_3238903",78,1,49,6037,"работаю чисто в женском коллективе. недавно появилась женщина, которая всех уже достала своими нравоучениями и советами как надо вести себя с мужчинами. причем сама уже в четвертом разводе, детей нет и сейчас в очередном поиске. за нами часто заезжают мужья, так она уже все выспросила, а что, а ему не лень, а самой почему не доехать, вот достанешь мужика и уйдет. мы смеемся каждый раз, что, к тебе что ли уйдет? вчерашняя история уже не оставила сомнений, что мадам открыла охоту в нашем коллективе. у меня муж если работает, приезжает на рабочей машине и в рабочей одежде, если выходной, то на своей и соответственно в другой одежде. так она решила, что это два разных человека и мне слишком жирно будет. вчера собираюсь после работы, выглядываю в окно, муж уже ждет и рядом эта ему что-то рассказывает размахивая руками. я спустилась, ее уже нет, муж стоит и откровенно ржет. рассказывает, что я падшая женщина и ему было предложено последить за мной в другие дни, когда за мной приезжает хмырь на девятке. и еще, что после того как он все своими глазами увидит, можно присмотреться к ней, свободной и очень положительной во всех отношениях. завтра идти на работу, даже не знаю, что этой спасительнице нравов сказать. 

#история #обострение #провал",2018-03-20 20:00:10,"Unlikeable"
"2","https://vk.com/wall-67083068_3238842",22,2,17,4855,"экологичные продукты с нашей фермы. семейная ферма ""тимофеевка"" находится в ломоносовском районе ленинградской области. здесь наши коровы и куры содержатся в идеальной чистоте, получают натуральный корм, качественный уход и заботу о здоровье! 
 
в ""тимофеевке"" заказать легко: 
- чистое молочко (от разных коров, не смешивается) 
- настоящие молочные продукты: масло, сливки, сметана, разные виды сыров, йогурт, кефир... 
в молочных продуктах с ""тимофеевки"" есть молоко наших коров и ничего более. 
мы также предлагаем: 
- ржаной и пшеничный хлеб 
- овощи: картофель 
- птицу: кура, индейка 
- мясо: мясо молодого бычка, кролик, тушенка 
с любовью и заботой о вас! 
бесплатная доставка по спб и области 
#молокомясосемейнаяферматимофеевка 
☎8-921-935-36-63",2018-03-20 19:30:00,"Unlikeable"
"3","https://vk.com/wall-67083068_3238794",33,0,84,5933,"что такое нравственность? и где она в наше время? это просто крик души! когда родители вмешиваются в жизнь детей, про это очень часто и много пишут, а вот про то , что дети не дают жизни родителям я видела мало статей...суть в чем: растила я дочь одна, так уж получилось, что отец ее был конкретным скотиной...но, не про это сейчас. ребенка я очень хотела, воспитывала в любви и вот выросло чадо - ""юдо"" , которое, без конца, только требует. уже сама мать. первый раз вышла замуж в 20 лет , через год,  как родился ребенок, со скандалом разошлась. мне пришлось кормить ее и ее ребенка, это при том, что я одна и квартира у меня съемная, так как в нашей комнате жила дочь и внучка, а я решила дать им жить отдельно и помогать чем смогу. погоревала я и за работу. дальше больше...пошла моя доча в загул...ночью ребенка бросала и гулять, пока не нашла себе парня. расписались, вроде бы все хорошо, но спокойствие было недолгим. 4 года...затем опять развод. и теперь требует у меня ее кормить. ту комнату сдали другим людям, пока она с мужем жила, все помощь. переехала ко мне, на съемную квартиру, это жуть..ребенок в школу не ходит, пока болеела, но и потом когда выздоровела тоже не ходила в школу. на мой вопрос : - когда же это все закончится? мне ответили, что если я еще буду выступать, то меня просто упекут в полицию, т.к у нее там появилась хорошая знакомая. на это я сказала убираться вон, за что мне и вцепились в волосы, а ребенку при этом было сказано: - беги вниз по соседям, стучи ногами, руками в двери и кричи, что бабушка тебя избивает...вот так, я как злостный бандит провела ночь в полиции. как теперь жить и что делать не знаю...прошел месяц. звонок по сотовому от подруги моей дочери, говорит , что дочь ваша заболела и хочет , чтобы вы приехали. я ей, пусть она сама позвонит, но не смогла ответить на звонок. до сих пор еще обида...так она мне сообщение давай слать, что я тебе припомню, ты у меня еще не такое получишь..как же жить то дальше? бьешься, стараешься, чтобы все лучшее им, себе ничего, личной жизни, в том числе. казалось бы вырастут и став родителями, все поймут и будут ближе, а получается все наоборот. обидно и больно так, что кажется сердце остановится... почему так, что еще им нужно?

#дети #отношения #цветочкиягодки",2018-03-20 19:00:13,"Unlikeable"
"4","https://vk.com/wall-67083068_3238734",69,15,14,5863,"срезают лазером сосули,
в лицо впиваются снежины.
до остановы добегу ли,
в снегу не утопив ботины?

а дома ждет меня тарела,
тарела гречи с белой булой;
в ногах — резиновая грела,
и тапы мягкие под стулом.

в железной бане — две селеды,
торчат оттуда ложа с вилой.
есть рюма и бутыла с водой,
она обед мой завершила.

я в кружу положу завары,
раскрою «кобзаря» шевчены —
поэта уровня петрары
и валентины матвиены.

(с)",2018-03-20 18:00:12,"Unlikeable"
"5","https://vk.com/wall-67083068_3238694",5,0,0,4779,"предлагаем вашему вниманию новый магазин фирменных кроссовок высокого качества по доступным ценам! делайте заказы, приводите друзей и получайте скидки!",2018-03-20 17:30:01,"Unlikeable"
"6","https://vk.com/wall-67083068_3238683",78,0,48,5833,"сегодня ездила по делам. погода не очень, настроение вообще перешло нулевую отметку, хочется быстрее закончить все дела и вернуться в свое теплое гнездо. спустилась по эскалатору, смотрю, поезд в нужном направлении стоит, бежать лень, заскакивать в последний момент тоже, уехал. следующий оказался новым и почти пустым. думаю, ну хоть тут повезло. сажусь и собираюсь достать телефон. но тут вбегают молодые люди с инструментами, я приготовилась уже к жуткому вокалу и непонятным песням. но они начали играть и петь кукушку цоя и причем даже очень классно это делать. через минуту поняла, что наслаждаюсь от песни моей юности в этом несущемся в темном тоннеле поезде. настроение улучшилось, быстро переделала все дела. на обратном пути уже были только продавцы всякой ерунды и какая-то визгливая женщина пыталась что-то петь, но это настроение уже не испортило. не всегда музыканты в метро раздражают, иногда они дарят прекрасное настроение и заряд позитива. пусть таких (а не визгливых теток с народным репертуаром) будет побольше). 

 #метро #настроение #музыканты",2018-03-20 17:25:00,"Unlikeable"
"7","https://vk.com/wall-67083068_3238631",164,7,2,8900,"еще немного и будет розовое небо над оживленными каналами😍",2018-03-20 16:45:00,"Unlikeable"
"8","https://vk.com/wall-67083068_3238544",41,1,90,4861,"пару дней назад моя соседка села всей семьей на диету и готовит теперь одни вареные овощи. я сунул нос в кастрюлю - жуткое варево. сосед, ее муж, быстро нашел во мне союзника и попросил в моем холодильнике политического убежища для своего стратегического запаса - запрещенной на их территории колбасы и сосисок нон грата. сегодня он даже разобрал старый утюг и бегает каждые полчаса ко мне в комнату ""за нужной отверткой"", припадая к спасительному холодильнику. интересно, что он разберет починить еще, когда утюг совсем кончится... 
мое мнение - если здорового мужика кормить одной травой, то он перестанет быть здоровым мужиком. и в кролика не превратится. станет вечноголодным и злым, только и всего. зачем жены так издеваются над своими мужьями? 

#диета #семья #соседи #голодныеизлые",2018-03-20 16:00:09,"Unlikeable"
"9","https://vk.com/wall-67083068_3238478",49,0,91,6163,"как мне хочется тишины! на работе общение с людьми и вечное радио, в транспорте шум, а прихожу домой и тоже еще надо с семьей разговаривать. и работающие телевизоры в комнате и на кухне! никто их так-то не смотрит, а стоит выключить, так сразу раздаются вопли протеста. к ночи голова перестает что-нибудь уже воспринимать. куда деваться современному жителю большого шумного города от этих лишних звуков? 

#тишина #звуки #шум #город",2018-03-20 15:15:00,"Unlikeable"
"10","https://vk.com/wall-67083068_3238415",74,0,0,6811,"портрет любимого города

фото: marina sivakova",2018-03-20 14:30:01,"Unlikeable"
