airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Klaus Malling,Denmark,2014-02-11,"A small very effective airport with few flights. Check-in is notorious quick and staff friendly arrival very quick and busses to Aalborg frequent. Usually no problems getting taxis as well. There used to be a cafeteria but nowadays just a kiosk - but good cafeteria with reasonable prizes inside terminal. Security check quick and friendly as well. There is a nice viewing pavilion at one end of the airport. Outside note the famous ""kiss and goodbye signs"". Restrooms outside terminal however few.",NA,NA,NA,9,5,5,NA,NA,NA,4,NA,NA,1
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Paul Van Alsten,France,2011-05-22,AMS-AAL and quite satisfied with this regional airport. Only a few flights per day so baggage reclaim understandably very quick. Bus line 2 connects with downtown Aalborg every 15 minutes weekdays but only hourly during the weekend - travel time is 15 mins and costs 18DKK. Check-in efficient and hassle-free using self-service kiosks. Free Internet computers are available landside - a nice touch. Security staff very friendly. Boarding area is rather cramped with limited seating - do not go airside too early.,NA,NA,NA,5,5,5,NA,NA,NA,3,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,N Sutherland,United Kingdom,2014-10-05,I believe 2013 was a record year for ABZ in terms of passenger numbers 2014 is up on that - and it shows. Dreadful crowding - airside landside check-in baggage handling security passenger facilities - everything is operating at way beyond its design capacity. Happily I only have to spend an hour there on Departure and 30 mins on Arrival. I feel sorry for the people who have to work there.,NA,NA,NA,3,2,3,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,M Ferguson,United Kingdom,2014-06-12,One luggage carousel poor quality and expensive food airside. What more can I say. On the plus side it is clean and there are tables in security to help you sort out shoes jacket liquids laptop but the area is very small. The seating in the gate area is not that comfortable most often you get on and off the plane by steps-rarely an airbridge as in many other airports. The addition of the multi storey carpark indicates extra footfall and the check in queues have been alleviated by the move of the BA desks round the corner but the airport has a long way to go!,NA,NA,NA,3,3,4,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,S Davidson,United Kingdom,2013-03-26,I wish to echo the sentiments expressed in the review by Marion Johnston. The flight options to common holiday destinations like Tenerife etc are abysmal from Aberdeen Airport. Unless you are going on an overpriced package deal with Thomas Cook Thomson's etc and book around 8-12 months in advance you're only other option is a convoluted chain of flights transfers and even overnight hotels via Edinburgh Glasgow or London. I know of many other people from Aberdeen who concur. The runway extension is obviously a start for greater potential but I'm not seeing a greatly populated list of destinations to boot!,NA,NA,NA,3,3,5,NA,NA,NA,4,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Iain Williamson,NA,2007-03-24,I've been using Aberdeen airport infrequently over the last ten years. The staff remain the friendliest and most polite I've seen in any airport and there is something exhilirating and about coming into this Northern city usually in a small aircraft bouncing in through high winds. The small airport usually allows for quick access to bus or taxi. Waiting for a bus can take some time though. The airport retains a nice atmosphere overall and is always clean.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Michael Schade,United Arab Emirates,2015-02-12,I am a frequent traveller and I have seen my share of dysfunctional airports but nothing compares to the AUH airport. It did not catch up with its growth over the past few years and passengers have to pay dearly for that shortcoming. It took me 2h from stepping into the building until I reached the gate. There are long queues everywhere check in passport control security and even toilets. Staff are stressed and grouchy. There are at peak hours no seats anywhere in or near the gates. The old and rundown terminal 1 is even worse. I guess passengers have to put up with this till the new terminal opens in about two years.,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,L Mellor,Sweden,2014-11-05,Last visited this airport in the 1980s. In a way I'll be sorry to see it go as its tiled doughnut satellites have stood the test of time architecturally speaking. Compare this with the monstrosity at Charles de Gaulle which seems to have aged in less than 10 years. The biggest problem in landing at the international airport is it take about 15 mins to taxi to/from the runway as the new airport terminal construction means that there are a series of contraflow taxi ways. I read a lot of complaints but I took a family of three young children through the terminal at 2:00am and nothing but praise for the staff and services. The Merc Taxis are spacious and not overpriced.,NA,NA,NA,7,4,4,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Sebastian George,Australia,2014-01-30,I've been through both Abu Dhabi and Dubai a few times. Etihad and Emirates as airlines provide nice services but I'd avoid Abu Dhabi airport if I had the choice. The airport is obviously striving for an upmarket feel but it's quite cramped the organisation and staff are somewhat lacking there's few opportunities for rest fresh air or natural light. The variety of food and facilities on offer is pretty limited too.,NA,NA,NA,5,2,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,David Roberts,United Kingdom,2014-01-28,This is a new airport and its got to be the worst airport I have used it took almost 2 hours to get from our arrival gate to our new departure gate. The staff have no interest in helping you. How this airport works I have no idea its total chaos there is no organisation here. I will use Dubai or Doha in future.,NA,NA,NA,NA,1,2,NA,NA,NA,3,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,N Sutherland,United Kingdom,2013-03-25,I've been through AUH several times in recent years it's always been at night and it's always very busy. This time I had a tight daytime connection (1hr 20 mins) and the inbound flight was 1hr late. Not a problem - the airport was extremely quiet at 9am no queues at all in Security and Etihad held the connecting flight until all the transit passengers had boarded. All very civilized and not at all like short connections in Dubai.,NA,NA,NA,7,5,4,NA,NA,NA,3,NA,NA,1
