airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,M Stewart,United Kingdom,2015-03-24,Airport is small and convenient when flights can actually leave and the check in and security I experienced were fine. The airport lounges are OK too if you are frequent flyer. However the airport is not equipped for all weather flights apparently the runway is too short so delays or cancellations due to weather (a little bit of fog) occur as happened the only 2 times I visited and I understand this is not infrequent. A taxi driver who took me to a hotel (which I paid for myself) told me that when delays occur all the local hotels are full so I had to find a hotel way out of Aberdeen. The positive side for taxi drivers is that the one who took me said he'd had a passenger who was so desperate to get to Heathrow he paid Â£1000 (yes one thousand GBP) to get there. They staff at BA with whom I'd flown are unable to cope with queues very long at desks. Its more like a third world airport in that respect. One would have thought that with the importance of the oil industry etc that arrangements would have been made to improve capacity and capability.,NA,NA,NA,2,4,4,NA,NA,NA,3,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,S Reid,NA,2010-04-02,Avoid this airport on outbound flights in the afternoon particularly on Friday. Allow up to 1hr for the security screening process. You can pay an additional £5 to jump to the top of the security queue. I have not seen this at any other airport. Staff are friendly but another one/two security screening stations are required to cope at peak times. The luggage arrivals belt is small and if three flights land at once you scramble for your bags. On exiting the airport the smokers are just outside the door with the discarded cigarette ends on the pavement. Not a very nice welcome to Aberdeen. If you have the option avoid this airport or use it out of peak hours - not easy due to the remote location. I have recently used Terminals 3/4 and 5 at Heathrow and Aberdeen Airport is worse than these.,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Iain Williamson,NA,2007-03-24,I've been using Aberdeen airport infrequently over the last ten years. The staff remain the friendliest and most polite I've seen in any airport and there is something exhilirating and about coming into this Northern city usually in a small aircraft bouncing in through high winds. The small airport usually allows for quick access to bus or taxi. Waiting for a bus can take some time though. The airport retains a nice atmosphere overall and is always clean.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Jay Sitlani,United States,2015-07-14,"Transiting through AUH is an ordeal, and lets down the very good inflight product of its dominant hub carrier Etihad. Herding transit passengers through a security line (and forcing premium pax into their own dedicated but much slower line) and requiring them to take their belts, shoes, watches, phones, plus anything else in their pockets off is absurd. And if you're connecting to the US, then you have to repeat this farcical performance. A new terminal is being constructed, and while I suspect it will be posh and modern and beautiful, it will still be burdened by these transit procedures. Etihad is a fabulous carrier, but the transit at AUH will make me think twice before I choose it for my long haul travel needs.",Transit,14-06-2015,Solo Leisure,4,2,2,2,NA,0,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,J Nascimento,United Kingdom,2015-03-24,A taxi driver suggested to us that roadworks are never really finished in Abu Dhabi. They finish it realise that is was done wrongly and re-do it. Well pretty soon someone will realise that AUH terminal 3 is wrong… It is narrow cramped with a ceiling that makes me (6ft’2”tall) uncomfortable. If you are using or planning to use Etihad and AUH as your hub please understand: this is not DXB Terminal 3. Not even a poor version of it. It feels like a toy airport. Quite unbelievable how bad it is. Even DMK (the old Bangkok airport) feels more spacious. Hope you will not need to use the toilets. They are disgusting. With Dubai and Qatar nearby I don't see the point of ever using AUH again. Etihad is not that great as an airline. Saving £50 here or there and having to transit through this is just not worth.,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,R Jones,United Kingdom,2014-12-21,Terrible airport! For a growing carrier like Etihad and the traffic growth all around the gulf Abu Dhabi seems to be lagging behind everyone else. In terminal 3 there are 6 bag drop desks for most of the Etihad fleet (that's over 100 a/c) and around 10 normal check in desks. Average queue time can be anything from 10mins to 1hr plus. Then all the passengers move across to boarder control where of course it is chaos again. Finally when you clear immigration and security you are presented with a terrible selection of shops restaurants and cafes and no seating what so ever (unless of course you don't mind sitting on the floor or the edge of a flower bed). Then when your flight is ready to board there is a single file queue to one maybe two people checking passports. So the queue here for a B777 or A340 is 15mins+. Then you board the a/c and you are away. From the moment you enter the airport to boarding the plane it is a nightmare. I hope the new midfield terminal will be better. I cannot imagine what the A380 with 450-500 passengers is going to look like in terminal 3! I really feel sorry for those passengers. The staff are very rude and not interested in the passenger experience and queuing for security is chaos as staff are shouting almost every world city for passengers to skip the queue for imminent departures so the flow of people in the queue is limited as people skip the queue. I didn't imagine this at all for a Middle Eastern airport.,NA,NA,NA,1,1,4,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,R Matthews,United Kingdom,2014-08-14,In transit from Australia with Etihad. Complete chaos around the boarding gate new passport control before going to the gate made this much worse. This is an airport to avoid its overcrowded and organisation is very poor.,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,David Feehan,United Kingdom,2014-06-23,Just returned from holiday which involved transiting at AUH. The boarding process at Terminal 3 is to say the least chaotic. Especially if your flight involves being bussed from the terminal to where your plane is parked and because of this (notwithstanding the tight connection times between a lot of Etihad flights) they never seem to leave on time. Facilities do leave a lot to be desired. With planned construction of a new terminal building you hope that issues such as being bussed to and from terminals (abnormal in today's era of international airports) and chaotic boarding are ironed out. I'm not that optimistic though.,NA,NA,NA,4,2,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Danny Li,Netherlands,2014-06-23,It seems that this airport can't handle the rapid growth of Etihad Airways. Terminal is overcrowded most of the time. Very stressful airport to transfer from one flight to another.,NA,NA,NA,NA,2,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,H Kohl,Australia,2013-12-09,I have been trough Abu Dhabi a few times. It is getting worse. Unfriendly people very long walk ways most Etihad flights don't use an aerobridge bus transfer. Small departure lounges with two gates very bad communication which flight is boarding bad signage. Even the people in the premium lounge were unfriendly. If you can avoid this airport.,NA,NA,NA,1,2,2,NA,NA,NA,1,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Maria Ioana,Romania,2013-09-24,"Transited in Abu Dhabi twice in August and September 2013. It's one of the cleanest with helpful staff. It is indeed chilly but other than that it's easy to get around and you really do have everything you need there even if you are ""trapped"" inside for more than 10 hours like I was. Oh and there's also free Wi-Fi and comfy chairs with blankets which can make your ""stay"" a whole lot easier.",NA,NA,NA,9,4,5,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Nabil Al Atassi,Czech Republic,2013-09-24,I have been using this airport for many years. Terminal 1 (old) used by most airlines is overloaded with poor services and only one poorly attended bathroom. Terminal 3 used exclusively by Etihad is a bit larger but again operating beyond its design capacity; with only three bathrooms and cheap cleaning contractor cleanliness is an issue mainly if you want to use the cabinets. Abu Dhabi is trying to imitate Dubai's success but apparently without success. Amongst the three major hubs in the area Dubai Doha (till the opening of new airport end of this year) and Abu Dhabi Dubai remains the best. If you have a choice then avoid this airport.,NA,NA,NA,4,3,2,NA,NA,NA,2,NA,NA,0
