airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Klaus Malling,Denmark,2014-02-11,"A small very effective airport with few flights. Check-in is notorious quick and staff friendly arrival very quick and busses to Aalborg frequent. Usually no problems getting taxis as well. There used to be a cafeteria but nowadays just a kiosk - but good cafeteria with reasonable prizes inside terminal. Security check quick and friendly as well. There is a nice viewing pavilion at one end of the airport. Outside note the famous ""kiss and goodbye signs"". Restrooms outside terminal however few.",NA,NA,NA,9,5,5,NA,NA,NA,4,NA,NA,1
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Pedro Gil,NA,2005-08-28,Amazed to find that this little place gets reviews! I staged through here in April 05 enroute to LHR via CPH. Very bright clean and well designed airport. Good little cafe with interesting local food. All very efficient when I went through.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Nigel Stacey,United Kingdom,2012-04-24,Not too bad it was easy to check-in. One thing I found strange was the baggage conveyer came out near the entrance to the airport. There are a few places to get a drink and a bite to eat. To get into Aberdeen the station is a bus or taxi journey away from the terminal itself. There are a couple of hotels close by but they are a bit pricey. All in all it I not too bad could do with a bit of a make over.,NA,NA,NA,8,4,3,NA,NA,NA,3,NA,NA,1
abidjan-airport,/airport-reviews/abidjan-airport,Abidjan Airport customer review,Anoma Yao,NA,2014-06-30,Small airport but modern and clean facility. No hustlers in the terminal unlike in most African airports. Not much queuing at check-in immigration and security. Air-conditioning functions toilets are clean airbridges and no pax busses but poor amenities: no wifi tiny duty free zone and unattractive lounge.,NA,NA,NA,8,5,5,NA,NA,NA,2,NA,NA,1
abidjan-airport,/airport-reviews/abidjan-airport,Abidjan Airport customer review,Pedro Gil,NA,2006-12-20,I frequently travel through this airport and would note a couple of problems in an otherwise nice facility. First I've arrived on another airline and been unable to get help in the transit lounge from Air I'voire even though they are my next flight. You have to get somebody to take you to the front desk through a little back hallway and tip them. Second if you go through the passport desk they have plain clothed policemen without badges who demand your passport in the luggage area without identifying themselves. The restaurant in the departure area is much nicer than the one outside the ticket area where you check in.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Loay Osman,United Arab Emirates,2015-07-04,Very confusing airport and not user friendly. Strange lay out. Lounges are cramped and not enough food and beverage  outlets. Extremely expensive duty free. Bathrooms looks shabby and not very well maintained. Overall the airport looks very tired. Too many announcements. However AUH are building their new airport,Arrival and Departure,04-06-2015,Solo Leisure,4,4,2,2,NA,1,1,1,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Nur Afiqah Rahmat,United Arab Emirates,2015-06-15,"I've lost count the amount of times I've traveled in and out of this airport, but I have been to all 3 terminals to review them here. Terminal 1: This is where all the other airlines (not low cost) flies out to and out from. Small considering its Abu Dhabi, where all the money is at. You are required to scan your luggage prior to check in and 'apparently' only passengers are allowed to go there, even if you're just there to buy flight tickets which is located inside. Only one small coffee shop before the immigration check for you to hang with your loved ones before you say goodbye. Inside the terminal past security, only few stores available, and all are tiny. Terminal 2: This is where the low costs airlines such as Rotana Jet flies in or out from. Terminal is tiny, looks like a ghost town with only one coffee shop that surprisingly has good food. Coming in to the terminal was another nightmare. I've flown in twice here and both times were jam packed. It's as if the queue is never ending. Terminal 3: This is where all the Etihad flights come in and out from. Much better than the other 2 terminals and you can actually check in at the counter with another person accompanying you. Shops inside the terminal passed immigration is better than Terminal 1, although still not as amazing as Dubai Terminal 3 or Doha airport. Still, not recommended for transit more than 3 hours. I had to give mix stars for this airport due to the different service quality that is displayed across different terminals. Oh and wifi was awful on all 3 terminals.",Arrival and Departure,14-06-2015,Solo Leisure,4,2,3,0,NA,0,1,0,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Michael Schade,United Arab Emirates,2015-02-12,I am a frequent traveller and I have seen my share of dysfunctional airports but nothing compares to the AUH airport. It did not catch up with its growth over the past few years and passengers have to pay dearly for that shortcoming. It took me 2h from stepping into the building until I reached the gate. There are long queues everywhere check in passport control security and even toilets. Staff are stressed and grouchy. There are at peak hours no seats anywhere in or near the gates. The old and rundown terminal 1 is even worse. I guess passengers have to put up with this till the new terminal opens in about two years.,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Andy Williams,United Kingdom,2014-11-12,I used AUH on my recent trip to the Philippines as a connection. On both legs I spent only 3 hours in the place. Arrived at Terminal 3 but was departing from Terminal 1 on my outbound leg. The airport website tells you it takes 20 minutes walk but it was more like 10 but I travel light and move fairly quick. Terminal 1 was chaos! It simply is not big enough to house the traffic in and out. Long queues and very little seating. It is also very expensive even for just a drink. Inbound leg both flights arrived and departed from Terminal 3 which is much better. Still the queues into the gates are too long. Had my passport and boarding pass checked twice in the space of 10 meters. All in this place still only gets an average rating. I would use this airport again providing Etihad's ticket prices are decent and hope I only have to use Terminal 3.,NA,NA,NA,5,2,4,NA,NA,NA,3,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,L Mellor,Sweden,2014-11-05,Last visited this airport in the 1980s. In a way I'll be sorry to see it go as its tiled doughnut satellites have stood the test of time architecturally speaking. Compare this with the monstrosity at Charles de Gaulle which seems to have aged in less than 10 years. The biggest problem in landing at the international airport is it take about 15 mins to taxi to/from the runway as the new airport terminal construction means that there are a series of contraflow taxi ways. I read a lot of complaints but I took a family of three young children through the terminal at 2:00am and nothing but praise for the staff and services. The Merc Taxis are spacious and not overpriced.,NA,NA,NA,7,4,4,NA,NA,NA,4,NA,NA,1
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,R Matthews,United Kingdom,2014-08-14,In transit from Australia with Etihad. Complete chaos around the boarding gate new passport control before going to the gate made this much worse. This is an airport to avoid its overcrowded and organisation is very poor.,NA,NA,NA,NA,1,3,NA,NA,NA,2,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,M Sawar,United States,2014-05-11,Would not recommend flying through this airport mainly due to lack of appropriate seating in at this airport including the business and first class lounges. Both the lounges were dirty and unkempt.,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,0
