airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Klaus Malling,Denmark,2014-02-11,"A small very effective airport with few flights. Check-in is notorious quick and staff friendly arrival very quick and busses to Aalborg frequent. Usually no problems getting taxis as well. There used to be a cafeteria but nowadays just a kiosk - but good cafeteria with reasonable prizes inside terminal. Security check quick and friendly as well. There is a nice viewing pavilion at one end of the airport. Outside note the famous ""kiss and goodbye signs"". Restrooms outside terminal however few.",NA,NA,NA,9,5,5,NA,NA,NA,4,NA,NA,1
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Paul Van Alsten,France,2011-05-22,AMS-AAL and quite satisfied with this regional airport. Only a few flights per day so baggage reclaim understandably very quick. Bus line 2 connects with downtown Aalborg every 15 minutes weekdays but only hourly during the weekend - travel time is 15 mins and costs 18DKK. Check-in efficient and hassle-free using self-service kiosks. Free Internet computers are available landside - a nice touch. Security staff very friendly. Boarding area is rather cramped with limited seating - do not go airside too early.,NA,NA,NA,5,5,5,NA,NA,NA,3,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,M Stewart,United Kingdom,2015-03-24,Airport is small and convenient when flights can actually leave and the check in and security I experienced were fine. The airport lounges are OK too if you are frequent flyer. However the airport is not equipped for all weather flights apparently the runway is too short so delays or cancellations due to weather (a little bit of fog) occur as happened the only 2 times I visited and I understand this is not infrequent. A taxi driver who took me to a hotel (which I paid for myself) told me that when delays occur all the local hotels are full so I had to find a hotel way out of Aberdeen. The positive side for taxi drivers is that the one who took me said he'd had a passenger who was so desperate to get to Heathrow he paid Â£1000 (yes one thousand GBP) to get there. They staff at BA with whom I'd flown are unable to cope with queues very long at desks. Its more like a third world airport in that respect. One would have thought that with the importance of the oil industry etc that arrangements would have been made to improve capacity and capability.,NA,NA,NA,2,4,4,NA,NA,NA,3,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,S Ritchie,United Kingdom,2014-08-26,"I find trying to book flights virtually anywhere out of Aberdeen nigh on impossible. You used to be able to get to many destinations with one stop in London - technically impossible now thanks to BA dropping Aberdeen to London Gatwick. The only route to Gatwick is EasyJet which has two flights a day as far as I can see which will fleece you for your long haul cases and not give you any guarantee for your onward flight. This level of service to a supposedly international airport is a joke. The international arrivals ""area"" is dirty cramped and there is nowhere to sit. You have to try to stay out of the way of the crowds waiting for their luggage. You can't see people coming you have to loiter around a small corner. It's truly bizarre and the most unwelcoming arrival area I've ever seen in an airport. The luggage belts are in desperate need of an addition. It's all well and good have a nicer departures lounge and fancy coffee but where precisely are we meant to be flying? Having to walk onto the Tarmac in wind and rain or even better snowy conditions to haul your case up a flight of stairs does not exactly make for a modern airport facility. The check in desks are under-served and the security slow at busy times. The only good thing is that security and customs are actually nice here unlike everywhere else!",NA,NA,NA,1,1,3,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,M Ferguson,United Kingdom,2014-06-12,One luggage carousel poor quality and expensive food airside. What more can I say. On the plus side it is clean and there are tables in security to help you sort out shoes jacket liquids laptop but the area is very small. The seating in the gate area is not that comfortable most often you get on and off the plane by steps-rarely an airbridge as in many other airports. The addition of the multi storey carpark indicates extra footfall and the check in queues have been alleviated by the move of the BA desks round the corner but the airport has a long way to go!,NA,NA,NA,3,3,4,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,S Davidson,United Kingdom,2013-03-26,I wish to echo the sentiments expressed in the review by Marion Johnston. The flight options to common holiday destinations like Tenerife etc are abysmal from Aberdeen Airport. Unless you are going on an overpriced package deal with Thomas Cook Thomson's etc and book around 8-12 months in advance you're only other option is a convoluted chain of flights transfers and even overnight hotels via Edinburgh Glasgow or London. I know of many other people from Aberdeen who concur. The runway extension is obviously a start for greater potential but I'm not seeing a greatly populated list of destinations to boot!,NA,NA,NA,3,3,5,NA,NA,NA,4,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Rob Wallace,NA,2005-04-23,When will they do something about the taxi rank? Its a little hut that holds about 40 people - often the queue stretches well outside - and at Aberdeen that is not a good idea. They also have sold the concession to one company so that other firms having dropped people off cannot pick up so you are stuck waiting for the chosen people to arrive.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Jay Sitlani,United States,2015-07-14,"Transiting through AUH is an ordeal, and lets down the very good inflight product of its dominant hub carrier Etihad. Herding transit passengers through a security line (and forcing premium pax into their own dedicated but much slower line) and requiring them to take their belts, shoes, watches, phones, plus anything else in their pockets off is absurd. And if you're connecting to the US, then you have to repeat this farcical performance. A new terminal is being constructed, and while I suspect it will be posh and modern and beautiful, it will still be burdened by these transit procedures. Etihad is a fabulous carrier, but the transit at AUH will make me think twice before I choose it for my long haul travel needs.",Transit,14-06-2015,Solo Leisure,4,2,2,2,NA,0,NA,NA,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Loay Osman,United Arab Emirates,2015-07-04,Very confusing airport and not user friendly. Strange lay out. Lounges are cramped and not enough food and beverage  outlets. Extremely expensive duty free. Bathrooms looks shabby and not very well maintained. Overall the airport looks very tired. Too many announcements. However AUH are building their new airport,Arrival and Departure,04-06-2015,Solo Leisure,4,4,2,2,NA,1,1,1,NA,0
abu-dhabi-airport,/airport-reviews/abu-dhabi-airport,Abu Dhabi Airport customer review,Nur Afiqah Rahmat,United Arab Emirates,2015-06-15,"I've lost count the amount of times I've traveled in and out of this airport, but I have been to all 3 terminals to review them here. Terminal 1: This is where all the other airlines (not low cost) flies out to and out from. Small considering its Abu Dhabi, where all the money is at. You are required to scan your luggage prior to check in and 'apparently' only passengers are allowed to go there, even if you're just there to buy flight tickets which is located inside. Only one small coffee shop before the immigration check for you to hang with your loved ones before you say goodbye. Inside the terminal past security, only few stores available, and all are tiny. Terminal 2: This is where the low costs airlines such as Rotana Jet flies in or out from. Terminal is tiny, looks like a ghost town with only one coffee shop that surprisingly has good food. Coming in to the terminal was another nightmare. I've flown in twice here and both times were jam packed. It's as if the queue is never ending. Terminal 3: This is where all the Etihad flights come in and out from. Much better than the other 2 terminals and you can actually check in at the counter with another person accompanying you. Shops inside the terminal passed immigration is better than Terminal 1, although still not as amazing as Dubai Terminal 3 or Doha airport. Still, not recommended for transit more than 3 hours. I had to give mix stars for this airport due to the different service quality that is displayed across different terminals. Oh and wifi was awful on all 3 terminals.",Arrival and Departure,14-06-2015,Solo Leisure,4,2,3,0,NA,0,1,0,NA,0
